Zeit: 20.30°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:   115 s; Temperatur: 20.60°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   117 s; Temperatur: 20.60°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   119 s; Temperatur: 20.60°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   121 s; Temperatur: 20.60°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   123 s; Temperatur: 20.60°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   125 s; Temperatur: 20.60°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   127 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   129 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   131 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   133 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   135 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   137 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   139 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   141 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   143 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   145 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   147 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   149 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   151 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   153 s; Temperatur: 20.80°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   155 s; Temperatur: 20.70°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   157 s; Temperatur: 20.80°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   160 s; Temperatur: 20.80°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   162 s; Temperatur: 20.80°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   164 s; Temperatur: 20.80°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   166 s; Temperatur: 20.80°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   168 s; Temperatur: 20.90°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   170 s; Temperatur: 20.90°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   172 s; Temperatur: 20.90°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   174 s; Temperatur: 20.90°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   176 s; Temperatur: 20.90°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   178 s; Temperatur: 20.90°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   180 s; Temperatur: 20.90°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   182 s; Temperatur: 20.90°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   184 s; Temperatur: 20.90°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   186 s; Temperatur: 21.00°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   188 s; Temperatur: 21.00°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   190 s; Temperatur: 21.00°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   192 s; Temperatur: 21.00°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   194 s; Temperatur: 21.00°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   196 s; Temperatur: 21.00°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   198 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   200 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   202 s; Temperatur: 21.00°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   204 s; Temperatur: 21.00°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   206 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   208 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   210 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   212 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   214 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   216 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 66.00%
Zeit:   218 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 66.00%
Zeit:   220 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 66.00%
Zeit:   222 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 66.00%
Zeit:   224 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 66.00%
Zeit:   226 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 66.00%
Zeit:   228 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   230 s; Temperatur: 21.10°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   232 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   234 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   236 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   239 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   241 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   243 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   245 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   247 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   249 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   251 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   253 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   255 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   257 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   259 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   261 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   263 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   265 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 65.00%
Zeit:   267 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   269 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   271 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   273 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   275 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   277 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   279 s; Temperatur: 21.20°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   281 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   283 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   285 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   287 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   289 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   291 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   293 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   295 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   297 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   299 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   301 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   303 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   305 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   307 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   309 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   311 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   313 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   315 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   318 s; Temperatur: 21.30°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   320 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   322 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   324 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   326 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   328 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   330 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   332 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   334 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   336 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   338 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   340 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   342 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   344 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   346 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   348 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   350 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   352 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   354 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   356 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   358 s; Temperatur: 21.40°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   360 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   362 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   364 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   366 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   368 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   370 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   372 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   374 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   376 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   378 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   380 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   382 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 64.00%
Zeit:   384 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   386 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   388 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   390 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   392 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   394 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   397 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   399 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   401 s; Temperatur: 21.50°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   403 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   405 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   407 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   409 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   411 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   413 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   415 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   417 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   419 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   421 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   423 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   425 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   427 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   429 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   431 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   433 s; Temperatur: 21.60°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   435 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   437 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   439 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   441 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   443 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   445 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   447 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   449 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   451 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   453 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   455 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   457 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   459 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   461 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   463 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   465 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   467 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   469 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   471 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   473 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   476 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   478 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   480 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   482 s; Temperatur: 21.70°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   484 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   486 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   488 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   490 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   492 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   494 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   496 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   498 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   500 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   502 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   504 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   506 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   508 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   510 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   512 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   514 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   516 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   518 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   520 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   522 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   524 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   526 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   528 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   530 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   532 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   534 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   536 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   538 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   540 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   542 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   544 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   546 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   548 s; Temperatur: 21.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   550 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   552 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   555 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   557 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   559 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   561 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   563 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   565 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   567 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   569 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   571 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   573 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   575 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   577 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   579 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   581 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   583 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   585 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   587 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   589 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   591 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   593 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:   595 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   597 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   599 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   601 s; Temperatur: 21.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   603 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   605 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   607 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   609 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   611 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   613 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   615 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   617 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   619 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   621 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   623 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   625 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 62.00%
